CD_GEOCODM,LONG,LAT,ALT
2109056,-44.583747889,-1.8572232148,1.99
2109106,-44.492918862,-5.2823742577,106.2
2109205,-44.076779421,-2.9282292461,51.36
2109239,-45.820708647,-2.3836640465,35.75
2109270,-45.37130226,-2.5955305599,24.8
2109304,-44.033401867,-3.4020115222,38.6
2109403,-43.442443304,-2.5105831719,1.65
2109452,-44.102516164,-2.4150749026,0
2109502,-46.623350142,-7.3645650002,394.08
2109551,-47.383477787,-5.9338228588,155.44
2109601,-44.247518595,-2.94154,17.54
2109700,-45.344203198,-7.1383508974,204.04
2109759,-44.56371404,-5.499766806,159.96
2109809,-45.305161193,-2.2345325089,9.97
2109908,-45.378272452,-3.6585,29.8
2110005,-45.665011724,-3.96839,44.19
2110039,-45.776461561,-2.5461614748,44.9
2110104,-42.562873009,-3.4984849951,30.36
2110203,-44.319948081,-3.1341167656,21.93
2110237,-42.400767757,-3.1130683427,33.15
2110278,-43.255284942,-2.502721198,7.29
2110302,-44.361447433,-4.8738195755,122.11
2110401,-43.52999187,-3.3327660037,34.68
2110500,-44.828345179,-2697,8.22
2110609,-42.42300966,-3.3654365101,41.71
2110658,-44.65042391,-6.8044250097,308.19
2110708,-44.392879256,-5.565642,183.58
2110807,-44.811447661,-7.0846851542,189.11
