UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município,LONG,LAT,ALT
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,04303,2204303,Fronteiras,-40.61723293,-7.0884125328,427.35
22,Piauí,04,Sudeste Piauiense,013,Picos,04352,2204352,Geminiano,-41.35757976,-7.1584176258,231.79
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,04402,2204402,Gilbués,-45.346919978,-9.8345699055,450.44
22,Piauí,03,Sudoeste Piauiense,009,Floriano,04501,2204501,Guadalupe,-43.566923654,-6.7852469086,168.48
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,04550,2204550,Guaribas,-43.68772102,-9.3951113037,521.6
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,04600,2204600,Hugo Napoleão,-42.562563046,-5.9877878906,218.66
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,04659,2204659,Ilha Grande,-41.819773184,-2.8540086071,2.1
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,04709,2204709,Inhuma,-41.710194056,-6.6671203406,391.76
22,Piauí,04,Sudeste Piauiense,013,Picos,04808,2204808,Ipiranga do Piauí,-41.739914127,-6.8269326782,429.36
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,04907,2204907,Isaías Coelho,-41.679448082,-7.7343106966,252.62
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,05003,2205003,Itainópolis,-41.48002531,-7.4512808131,230.59
22,Piauí,03,Sudoeste Piauiense,009,Floriano,05102,2205102,Itaueira,-43.025496507,-7.6081166325,241.6
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,05151,2205151,Jacobina do Piauí,-41.21076205,-7.9362644875,316.09
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,05201,2205201,Jaicós,-41.146474813,-7.3531523272,310.56
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,05250,2205250,Jardim do Mulato,-42.633959563,-6.096577594,168.39
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,05276,2205276,Jatobá do Piauí,-41.819822218,-4.7731589442,223.81
22,Piauí,03,Sudoeste Piauiense,009,Floriano,05300,2205300,Jerumenha,-43.502743006,-7.0846321938,150.57
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,05359,2205359,João Costa,-42.41784858,-8.4891257219,263.62
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,05409,2205409,Joaquim Pires,-42.187689803,-3.5131035478,16.71
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,05458,2205458,Joca Marques,-42.427737078,-3.4880338255,25.38
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,05508,2205508,José de Freitas,-42.578374531,-4.7630506394,130.37
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,05516,2205516,Juazeiro do Piauí,-41.702600759,-5.1613727542,191.54
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,05524,2205524,Júlio Borges,-44.243700632,-10.32678681,424.62
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,05532,2205532,Jurema,-43.133109743,-9.2220247204,448.75
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,05557,2205557,Lagoa Alegre,-42.616742539,-4.5087297492,111.43
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,05573,2205573,Lagoa de São Francisco,-41.60546869,-4.3927463866,375.61
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,05565,2205565,Lagoa do Barro do Piauí,-41.5302754,-8.4824371151,424.17
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,05581,2205581,Lagoa do Piauí,-42.649013206,-5.4121441696,112.79
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,05599,2205599,Lagoa do Sítio,-41.582386301,-6.5153476297,441.68
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,05540,2205540,Lagoinha do Piauí,-42.627383729,-5.8365834406,237.41
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,05607,2205607,Landri Sales,-43.931045515,-7.2665999754,304.11
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,05706,2205706,Luís Correia,-41.664567232,-2.8815665358,4.8
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,05805,2205805,Luzilândia,-42.371637523,-3.4608176351,31.15
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,05854,2205854,Madeiro,-42.50514124,-3.4842120051,29.28
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,05904,2205904,Manoel Emídio,-43.875474671,-8.0113586739,245.4
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,05953,2205953,Marcolândia,-40.662854291,-7.4435566613,785.3
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,06001,2206001,Marcos Parente,-43.888314008,-7.1192953774,283.94
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,06050,2206050,Massapê do Piauí,-41.123854684,-7.4654826844,240.3
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,06100,2206100,Matias Olímpio,-42.558628902,-3.7110272834,77.56
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,06209,2206209,Miguel Alves,-42.893166649,-4.1682155823,42.26
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,06308,2206308,Miguel Leão,-42.735829525,-5.6822417804,194.35
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,06357,2206357,Milton Brandão,-41.447959541,-4.6999534775,394.45
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,06407,2206407,Monsenhor Gil,-42.617398915,-5.5514856313,180.14
22,Piauí,04,Sudeste Piauiense,014,Pio IX,06506,2206506,Monsenhor Hipólito,-41.032893403,-7.0035024726,257.73
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,06605,2206605,Monte Alegre do Piauí,-45.29574022,-9.755833668,447.65
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,06654,2206654,Morro Cabeça no Tempo,-43.901874365,-9.7193194921,504.1
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,06670,2206670,Morro do Chapéu do Piauí,-42.309063394,-3.7422550962,68.05
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,06696,2206696,Murici dos Portelas,-42.09676908,-3.323859785,11.04
22,Piauí,03,Sudoeste Piauiense,009,Floriano,06704,2206704,Nazaré do Piauí,-42.66822723,-6.967128491,144.88
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,06720,2206720,Nazária,-42.814048469,-5.34,80.34
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,06753,2206753,Nossa Senhora de Nazaré,-42.179303078,-4.6269320917,117.97
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,06803,2206803,Nossa Senhora dos Remédios,-42.623951048,-3.9912253517,45.5
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07959,2207959,Nova Santa Rita,-42.048262001,-8.0749647181,265.3
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,06902,2206902,Novo Oriente do Piauí,-41.92872231,-6.4494051369,221.01
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,06951,2206951,Novo Santo Antônio,-41.934507497,-5.2860576439,151.97
22,Piauí,04,Sudeste Piauiense,013,Picos,07009,2207009,Oeiras,-42.13140566,-7.0164180059,165.78
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,07108,2207108,Olho D'Água do Piauí,-42.578551608,-5.8471585734,236.26
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,07207,2207207,Padre Marcos,-40.905862082,-7.3547121155,362.98
